directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0235590,7.0,1303,101659,Mark Neveldine,Gamer,Crank,Pathology
nm0235683,5.1,21,21,Adam Park,Wishful Thinking,Crank,The Dead Girl
nm0235702,7.3,234,702,Steven Brill,Mr. Deeds,Little Nicky,"Sex, Lies, and Videotape"
nm0235719,6.3,77756,9019804,Kevin Jarre,Glory,The Mummy,Rambo: First Blood Part II
nm0235799,4.1,31,31,Jim Threapleton,Extraordinary Rendition,The Mummy,Hideous Kinky
nm0235822,6.5,2305,25357,Raúl de la Torre,Poor Butterfly,So Feared a Hell,Alone
nm0235948,4.6,1152,14979,Shundo Ohkawa,The Yakuza Way,Madamada abunai deka,Nobody
nm0236075,6.5,15,15,Govind Nihalani,Aakrosh,Dev,Ardh Satya
nm0236226,6.8,49705,4224940,Patrick Leung,Red Cliff,Bullet in the Head,Hard Boiled
nm0236313,5.6,209,3566,Mike Figgis,Timecode,Stormy Monday,Hotel
nm0236395,3.9,59,59,John Shepphird,Teenage Bonnie and Klepto Clyde,Upside Down,Blood Money
nm0236405,5.5,734,8811,David Ayer,Harsh Times,Sabotage,End of Watch
nm0236576,6.6,12,49,Victor Teran,Enter the Dangerous Mind,Murder by Numbers,The Believer
nm0236617,6.7,52,2505,Luciano Tovoli,Single White Female,Murder by Numbers,The Passenger
nm0236664,7.2,439,32974,Michael D. Olmos,Splinter,Thursday,Filly Brown
nm0236700,5.6,534,7483,Youssef Delara,Star Trek: First Contact,Filly Brown,The Bounce Back
nm0236729,7.0,6679,193693,Lasse Åberg,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,Hälsoresan - En smal film av stor vikt,Den ofrivillige golfaren
nm0236769,6.1,11042,817179,Alexandre Heboyan,Monsters vs. Aliens,Kung Fu Panda,Azur & Asmar: The Princes' Quest
nm0236797,7.0,7,14,Nadezhda Kosheverova,Tiger Girl,Vesna v Moskve,Honeymoon
nm0236973,3.6,6854,157642,Lieh Lo,Executioners from Shaolin,The 36th Chamber of Shaolin,Five Fingers of Death
nm0237209,6.7,265,4518,Ed Hansen,Eroticise,Cyber-C.H.I.C.,9½ Weeks
nm0237323,6.5,10,131,Coralie,Exhibition 99,The Phantom Heart,Rape Me
nm0237348,6.1,28,346,Tom Green,Freddy Got Fingered,Charlie's Angels,Road Trip
nm0237395,5.8,29,116,Patrick Tatopoulos,Underworld: Rise of the Lycans,Dark City,Godzilla
nm0237424,6.0,103,10387,Shane Edelman,Catch Me If You Can,State of Play,Flightplan
nm0237501,3.7,27,27,Laurence Malkin,Five Fingers,Soul Assassin,Kill Me Three Times
nm0237527,6.9,1227,112938,Pauly Shore,Son in Law,Pauly Shore Is Dead,Bio-Dome
nm0237547,4.0,20,20,Elyer Ishmukhamedov,"Proshchay, zelen leta...",Ptitsy nashikh nadezhd,Naslednitsy
nm0237784,6.0,103,5901,Daryl Goldberg,Unholy,Future '38,Made for Each Other
nm0237802,5.2,78,78,Eric Schwab,Mission to Mars,Mission: Impossible,Mission: Impossible III
nm0237836,6.6,238,28611,Corey Michael Eubanks,Fast Five,Transformers: Age of Extinction,Knight and Day
nm0237876,5.8,455,15030,Andrew Currie,Mile Zero,Fido,Lawrence & Holloman
nm0237897,4.8,24,48,Enrique Pineda Barnet,Angelito mío,La bella del Alhambra,Verde verde
nm0237921,5.8,11,33,Julio De Grazia,Los superagentes no se rompen,Waiting for the Hearse,The Lion's Share
nm0237944,6.1,7,7,Vladislav Ikonomov,Piec kobiet na tle morza,Sreshta na silite,24 chasa dazhd
nm0238110,5.3,180,1080,Gerard Damiano,Throat... 12 Years After,Night Hunger,Never So Deep
nm0238112,7.1,36,72,Beda Docampo Feijóo,Crazy Loves,The Perfect Husband,What Your Eyes Don't See
nm0238138,5.8,166,2665,Andy Wing-Keung Chin,The Lord of Hangzhou,Ai zai hei she hui de ri zi,92 ying zhao nulang
nm0238173,7.4,6,13,Wiktor Grodecki,Mandragora,Inferno,Insatiability
nm0238276,6.9,12,38,Stefan Ruzowitzky,The Counterfeiters,The Inheritors,Lilly the Witch: The Dragon and the Magic Book
nm0238283,7.5,79,712,Stavros Kazantzidis,Russian Doll,In the Cut,Love and Other Catastrophes
nm0238385,5.9,61,740,Jørgen Lerdam,Journey to Saturn,The Incredible Story of the Giant Pear,The Olsen Gang in Deep Trouble
nm0238489,8.6,9,9,Holger Tappe,Impy's Island,Animals United,Monster Family
nm0238725,7.7,6,48,Élie Chouraqui,Harrison's Flowers,Mon premier amour,Qu'est-ce qui fait courir David?
nm0238746,7.5,42,385,Anurag Singh,Jurm,Karan Arjun,Hum To Mohabbat Karega
nm0238810,6.4,99,16935,Alan Simpson,Who Framed Roger Rabbit,The Rescuers Down Under,Watership Down
nm0238841,5.2,29126,1514568,Robert-Adrian Pejo,The Cameramurderer,Mancs,Dallas Pashamende
nm0239042,7.7,23,140,Roland Joffé,Captivity,The Scarlet Letter,The Mission
nm0239063,7.3,1128,24830,Lee Stanley,Gridiron Gang,Street Pirates,Carman: The Champion
nm0239163,5.8,22,44,Buddy Giovinazzo,A Night of Nightmares,Life Is Hot in Cracktown,No Way Home
